Sample Size,Sample,ATestsappalphas,ATestsappalphasNorm,ATestsappbetas,ATestsappbetasNorm,ATestsappalpha_ds,ATestsappalpha_dsNorm,ATestsappbeta_ds,ATestsappbeta_dsNorm
500,6,0.466504,0.533496,0.499464,0.500536,0.501042,0.501042,0.48702,0.51298
500,7,0.488476,0.511524,0.487076,0.512924,0.510558,0.510558,0.492874,0.507126
500,8,0.485928,0.514072,0.494,0.506,0.53044,0.53044,0.494254,0.505746
500,9,0.51991,0.51991,0.4919,0.5081,0.49272,0.50728,0.490972,0.509028
500,10,0.489836,0.510164,0.483708,0.516292,0.521724,0.521724,0.511474,0.511474
500,11,0.47148,0.52852,0.476888,0.523112,0.490702,0.509298,0.511336,0.511336
500,12,0.496718,0.503282,0.500356,0.500356,0.480586,0.519414,0.487652,0.512348
500,13,0.482266,0.517734,0.470556,0.529444,0.487154,0.512846,0.477088,0.522912
500,14,0.492876,0.507124,0.494576,0.505424,0.517034,0.517034,0.500428,0.500428
500,15,0.479798,0.520202,0.50274,0.50274,0.502246,0.502246,0.501528,0.501528
500,16,0.48556,0.51444,0.505428,0.505428,0.514564,0.514564,0.5156,0.5156
500,17,0.454678,0.545322,0.48152,0.51848,0.527938,0.527938,0.512144,0.512144
500,18,0.495134,0.504866,0.479204,0.520796,0.494314,0.505686,0.498838,0.501162
500,19,0.487802,0.512198,0.496496,0.503504,0.498418,0.501582,0.493988,0.506012
500,20,0.488986,0.511014,0.47324,0.52676,0.512718,0.512718,0.491958,0.508042
