SampleSize,Set,sappalphas,sappbetas,sappalpha_ds,sappbeta_ds
20,8,0,0,1,0
20,8,1,0,0,0
20,8,0,0,0,0
20,8,1,0,0,0
20,8,0,0,0,0
20,8,0,0,0,0
20,8,1,0,0,0
20,8,0,0,0,0
20,8,0,0,0,0
20,8,2,0,0,0
20,8,1,0,0,0
20,8,1,0,2,0
20,8,0,0,0,0
20,8,0,0,0,0
20,8,0,0,0,0
20,8,0,0,0,0
20,8,1,0,0,0
20,8,1,0,0,0
20,8,0,1,0,0
20,8,0,0,0,1
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,1,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,0,0
20,9,0,0,1,0
20,9,0,0,0,0
20,9,0,0,0,0
20,10,0,0,0,0
20,10,0,0,0,0
20,10,1,0,0,0
20,10,0,0,1,0
20,10,2,0,0,0
20,10,0,0,1,0
20,10,0,0,0,0
20,10,0,0,0,0
20,10,0,0,0,0
20,10,0,0,0,0
20,10,1,0,0,0
20,10,1,0,0,0
20,10,0,0,0,0
20,10,0,0,0,0
20,10,0,0,0,0
20,10,1,0,0,0
20,10,0,1,0,0
20,10,1,0,0,0
20,10,0,0,0,0
20,10,0,0,0,0
20,11,1,0,0,0
20,11,0,0,0,0
20,11,0,0,0,0
20,11,0,0,0,0
20,11,0,0,0,0
20,11,0,0,1,0
20,11,1,0,0,0
20,11,0,0,0,0
20,11,0,1,0,0
20,11,0,0,0,0
20,11,1,0,0,0
20,11,0,0,0,0
20,11,0,0,1,0
20,11,0,0,0,0
20,11,0,0,0,0
20,11,0,0,0,0
20,11,0,0,0,0
20,11,0,0,1,0
20,11,0,0,0,0
20,11,1,0,0,0
20,12,1,0,2,0
20,12,1,0,0,0
20,12,0,0,0,0
20,12,0,0,0,0
20,12,1,0,1,0
20,12,0,0,0,0
20,12,1,0,0,0
20,12,0,0,0,0
20,12,0,0,0,0
20,12,0,0,0,0
20,12,0,0,0,0
20,12,0,0,0,0
20,12,0,0,0,0
20,12,0,0,0,0
20,12,0,0,0,0
20,12,1,0,0,0
20,12,0,0,1,0
20,12,0,0,0,0
20,12,0,0,0,0
20,12,0,1,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,1,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,0,0,1,0
20,13,0,1,0,0
20,13,0,0,0,0
20,13,1,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,13,0,0,0,0
20,14,0,0,1,0
20,14,1,0,0,0
20,14,0,0,1,0
20,14,0,0,0,0
20,14,1,0,0,0
20,14,0,0,0,0
20,14,1,0,0,0
20,14,0,0,0,0
20,14,1,0,0,0
20,14,0,0,0,0
20,14,0,0,0,0
20,14,0,0,0,0
20,14,0,0,0,0
20,14,0,0,0,0
20,14,0,0,0,0
20,14,1,0,0,0
20,14,0,0,0,0
20,14,0,0,1,0
20,14,0,0,0,0
20,14,0,0,0,0
20,15,0,0,0,0
20,15,0,0,0,0
20,15,0,0,0,0
20,15,1,0,0,0
20,15,0,0,0,0
20,15,1,0,0,0
20,15,0,0,0,0
20,15,0,0,0,0
20,15,1,0,0,0
20,15,0,0,0,0
20,15,0,0,0,0
20,15,0,0,0,0
20,15,0,0,0,0
20,15,0,0,0,0
20,15,1,0,0,0
20,15,0,0,0,0
20,15,0,0,0,0
20,15,0,1,0,0
20,15,0,0,0,0
20,15,0,0,0,0
20,16,0,0,1,0
20,16,0,0,0,0
20,16,0,0,0,0
20,16,2,0,0,0
20,16,0,0,0,0
20,16,1,0,1,0
20,16,0,0,0,0
20,16,0,0,0,0
20,16,0,0,0,0
20,16,0,0,0,0
20,16,0,0,0,0
20,16,0,0,1,0
20,16,1,0,0,1
20,16,0,0,0,0
20,16,0,0,1,0
20,16,0,0,0,0
20,16,0,0,0,0
20,16,0,0,0,0
20,16,0,0,0,0
20,16,0,0,0,0
20,17,1,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,0,0
20,17,0,0,1,0
20,17,0,0,0,0
20,18,0,0,0,0
20,18,1,0,0,1
20,18,1,0,0,0
20,18,0,0,0,0
20,18,1,0,2,0
20,18,1,0,0,0
20,18,0,0,0,0
20,18,0,0,0,0
20,18,0,0,0,0
20,18,0,0,0,0
20,18,1,0,0,0
20,18,0,0,0,0
20,18,0,0,0,0
20,18,0,0,0,0
20,18,0,0,0,0
20,18,0,0,0,0
20,18,2,0,1,0
20,18,1,0,0,0
20,18,0,0,0,0
20,18,0,0,0,0
20,19,0,0,1,0
20,19,0,0,0,0
20,19,1,0,1,0
20,19,0,0,0,0
20,19,3,0,0,0
20,19,0,0,0,0
20,19,0,0,0,0
20,19,1,0,0,0
20,19,0,0,0,0
20,19,0,0,0,0
