Sample Size,Sample,ATestsappalphas,ATestsappalphasNorm,ATestsappbetas,ATestsappbetasNorm,ATestsappalpha_ds,ATestsappalpha_dsNorm,ATestsappbeta_ds,ATestsappbeta_dsNorm
20,13,0.60375,0.60375,0.53375,0.53375,0.4325,0.5675,0.6,0.6
20,14,0.48625,0.51375,0.565,0.565,0.34625,0.65375,0.55,0.55
20,15,0.56125,0.56125,0.48,0.52,0.32875,0.67125,0.6,0.6
20,16,0.605,0.605,0.4975,0.5025,0.3425,0.6575,0.6,0.6
20,17,0.56625,0.56625,0.5025,0.5025,0.4075,0.5925,0.575,0.575
20,18,0.61125,0.61125,0.5425,0.5425,0.4325,0.5675,0.6,0.6
20,19,0.58625,0.58625,0.5425,0.5425,0.24625,0.75375,0.6,0.6
20,20,0.555,0.555,0.4575,0.5425,0.3725,0.6275,0.575,0.575
50,2,0.4542,0.5458,0.553,0.553,0.4308,0.5692,0.53,0.53
50,3,0.525,0.525,0.5644,0.5644,0.4416,0.5584,0.51,0.51
50,4,0.5542,0.5542,0.5514,0.5514,0.49,0.51,0.52,0.52
50,5,0.5264,0.5264,0.5682,0.5682,0.4782,0.5218,0.52,0.52
50,6,0.4774,0.5226,0.5828,0.5828,0.4342,0.5658,0.55,0.55
50,7,0.5804,0.5804,0.5774,0.5774,0.4858,0.5142,0.53,0.53
50,8,0.513,0.513,0.536,0.536,0.4484,0.5516,0.53,0.53
50,9,0.5012,0.5012,0.5292,0.5292,0.4926,0.5074,0.51,0.51
50,10,0.483,0.517,0.5222,0.5222,0.4844,0.5156,0.53,0.53
50,11,0.423,0.577,0.5268,0.5268,0.4294,0.5706,0.51,0.51
50,12,0.4716,0.5284,0.5476,0.5476,0.5,0.5,0.52,0.52
50,13,0.5498,0.5498,0.5644,0.5644,0.4816,0.5184,0.52,0.52
50,14,0.4662,0.5338,0.536,0.536,0.4486,0.5514,0.51,0.51
50,15,0.4954,0.5046,0.4924,0.5076,0.4072,0.5928,0.54,0.54
50,16,0.5918,0.5918,0.513,0.513,0.4152,0.5848,0.54,0.54
50,17,0.4522,0.5478,0.5092,0.5092,0.4966,0.5034,0.53,0.53
50,18,0.5394,0.5394,0.5728,0.5728,0.5046,0.5046,0.55,0.55
50,19,0.551,0.551,0.5774,0.5774,0.4208,0.5792,0.5,0.5
50,20,0.4982,0.5018,0.5108,0.5108,0.4662,0.5338,0.53,0.53
100,2,0.51005,0.51005,0.5194,0.5194,0.4604,0.5396,0.5152,0.5152
